code,complexity
"def subsets(nums):
    out=[]
    cur=[]
    def rec(i):
        if i==len(nums):
            out.append(cur[:]); return
        cur.append(nums[i]); rec(i+1); cur.pop(); rec(i+1)
    rec(0)
    return out
print(subsets([1,2,3,4]))
",O(2 ^ n)
"def fib(n):
    if n<2:
        return n
    return fib(n-1)+fib(n-2)
print(fib(25))
",O(2 ^ n)
"def count_subset_sum(arr, tgt):
    def dfs(i, s):
        if i==len(arr): return 1 if s==tgt else 0
        return dfs(i+1, s) + dfs(i+1, s+arr[i])
    return dfs(0,0)
print(count_subset_sum([2,3,5,6,8,10],10))
",O(2 ^ n)
"def binaries(n):
    res=[]
    def go(p):
        if len(p)==n:
            res.append(''.join(p)); return
        p.append('0'); go(p); p.pop()
        p.append('1'); go(p); p.pop()
    go([])
    return res
print(len(binaries(6)))
",O(2 ^ n)
"def min_diff(arr):
    total=sum(arr)
    best=[float('inf')]
    n=len(arr)
    def rec(i,s):
        if i==n:
            d=abs(total-2*s)
            if d<best[0]:
                best[0]=d
            return
        rec(i+1,s)
        rec(i+1,s+arr[i])
    rec(0,0)
    return best[0]
print(min_diff([1,2,7,1,5]))
",O(2 ^ n)
"def gray(n):
    if n==0:
        return ['']
    prev=gray(n-1)
    return ['0'+x for x in prev] + ['1'+x for x in reversed(prev)]
print(' '.join(gray(3)))
",O(2 ^ n)
"def sat(clauses, n):
    for m in range(1<<n):
        ok=True
        for clause in clauses:
            if not any(((m>>(abs(l)-1))&1)==(l>0) for l in clause):
                ok=False
                break
        if ok:
            return True
    return False
print(sat([[1,-2],[2,3],[-1,-3]],3))
",O(2 ^ n)
"def bipartitions(items):
    res=[]
    A=[]
    B=[]
    def dfs(i):
        if i==len(items):
            res.append((A[:],B[:])); return
        A.append(items[i]); dfs(i+1); A.pop()
        B.append(items[i]); dfs(i+1); B.pop()
    dfs(0)
    return res
p=bipartitions(list('abcd'))
print(sum(len(x[0])+len(x[1]) for x in p))
",O(2 ^ n)
"def target_sum(nums, S):
    ans=0
    def rec(i,total):
        nonlocal ans
        if i==len(nums):
            if total==S:
                ans+=1
            return
        rec(i+1,total+nums[i])
        rec(i+1,total-nums[i])
    rec(0,0)
    return ans
print(target_sum([1,1,1,1,1],3))
",O(2 ^ n)
"def subsequences(s):
    res=[]
    def dfs(i, path):
        if i==len(s):
            res.append(path); return
        dfs(i+1, path)
        dfs(i+1, path+s[i])
    dfs(0,'')
    return res
print(len(subsequences('abcdef')))
",O(2 ^ n)
"class PowerSet:
    def __init__(self, data):
        self.data=data
    def build(self):
        res=[]
        cur=[]
        def rec(i):
            if i==len(self.data):
                res.append(tuple(cur)); return
            cur.append(self.data[i]); rec(i+1); cur.pop(); rec(i+1)
        rec(0)
        return res
ps=PowerSet([1,2,3])
print(len(ps.build()))
",O(2 ^ n)
"import itertools

def all_sums(nums):
    totals=[]
    for signs in itertools.product((-1,1), repeat=len(nums)):
        s=0
        for a,b in zip(nums,signs):
            s+=a*b
        totals.append(s)
    return totals
v=all_sums([2,4,6,8])
print(min(v), max(v))
",O(2 ^ n)
"def truth_table(n):
    rows=[]
    def rec(i, bits):
        if i==n:
            rows.append(bits[:]); return
        bits.append(0); rec(i+1,bits); bits[-1]=1; rec(i+1,bits); bits.pop()
    rec(0,[])
    return rows
t=truth_table(4)
print('\n'.join(''.join(str(b) for b in r) for r in t))
",O(2 ^ n)
"def binaries(n):
    out=[]
    def rec(s, i):
        if i==n:
            out.append(s)
            return
        rec(s+'0', i+1)
        rec(s+'1', i+1)
    rec('',0)
    return out

print(len(binaries(12))//1)
",O(2 ^ n)
"def hanoi(n, a, b, c, out):
    if n==0:
        return
    hanoi(n-1, a, c, b, out)
    out.append((a,b))
    hanoi(n-1, c, b, a, out)

moves=[]
hanoi(15,'A','C','B',moves)
print(len(moves))
",O(2 ^ n)
"def subsets(arr):
    n=len(arr)
    res=[]
    for mask in range(1<<n):
        cur=[]
        for i in range(n):
            if mask>>i & 1:
                cur.append(arr[i])
        res.append(cur)
    return res

print(len(subsets(list(range(20)))))
",O(2 ^ n)
"def knap(w,v,cap):
    n=len(w)
    def dfs(i, rem):
        if i==n:
            return 0
        best=dfs(i+1, rem)
        if w[i]<=rem:
            val=v[i]+dfs(i+1, rem-w[i])
            if val>best:
                best=val
        return best
    return dfs(0,cap)

print(knap([2,3,4,5],[3,4,5,8],8))
",O(2 ^ n)
"def count_subsets(nums, target):
    n=len(nums)
    def dfs(i, s):
        if i==n:
            return 1 if s==target else 0
        return dfs(i+1, s)+dfs(i+1, s+nums[i])
    return dfs(0,0)

print(count_subsets([1,2,3,4,5],7))
",O(2 ^ n)
"def subsequences(s):
    res=[]
    def go(i, cur):
        if i==len(s):
            res.append(cur)
            return
        go(i+1, cur)
        go(i+1, cur+s[i])
    go(0,'')
    return res

print(len(subsequences('abcdefghijkl')))
",O(2 ^ n)
"def find_ways(nums, target):
    n=len(nums)
    def dfs(i, s):
        if i==n:
            return 1 if s==target else 0
        return dfs(i+1, s+nums[i])+dfs(i+1, s-nums[i])
    return dfs(0,0)

print(find_ways([1,1,1,1,1],3))
",O(2 ^ n)
"def max_subset_xor(nums):
    best=0
    n=len(nums)
    def dfs(i, x):
        nonlocal best
        if i==n:
            if x>best:
                best=x
            return
        dfs(i+1, x)
        dfs(i+1, x^nums[i])
    dfs(0,0)
    return best

print(max_subset_xor([3,10,5,25,2,8]))
",O(2 ^ n)
